text1,text2,joins
Id have responded if I were going,Then you should check out httptwittersuckscom and connect with other tweeple who hate twitter,False
Id have responded if I were going,also bored at school its my third freelesson freistunde,False
Id have responded if I were going,hm Both of us I guess,False
Id have responded if I were going,it is u have dissappointed me that past few days,True
Id have responded if I were going,romance zero is funny,True
Id have responded if I were going,Id rather do the early runbut I am a morning runner,False
Id have responded if I were going,Bah a coworker ran into work late and her bag smacked into my knee it really hurts now,True
Id have responded if I were going,will be back later httpplurkcomprp3k7,False
Id have responded if I were going,Aw Torn ace of hearts Hunchback,True
Id have responded if I were going,what fun are you speaking of,False
Id have responded if I were going,i lost all my friends im alone and sleepyi wanna go home,True
Id have responded if I were going,haha yes,False
Id have responded if I were going,I give in to easily,True
Id have responded if I were going,What better way to spoil mum than to let her kick back and relax over a nice meal and a bottle of her favorite wine Our wine was a red,True
Id have responded if I were going,mannnn got an iphone im jealous httpbitlyNgnaR,True
Id have responded if I were going,Is at a photoshoot,False
Id have responded if I were going,Hes awesome Have you worked with him before Hes a good friend,True
Id have responded if I were going,Yay playing a show tonight Boo its gonna soggy and Im at work right before playing,False
Id have responded if I were going,Chilliin,True
Id have responded if I were going,If you know such agent do let me know,False
Id have responded if I were going,I still smell of smoke kitchenfire,False
Id have responded if I were going,a celticslakers rematch sounds better dont you think lol,True
Id have responded if I were going,Anyone have an extra Keane ticket I promise to buy you a drink and take rad pics for your FB Blog Flickr etc,False
Id have responded if I were going,you can ride one you can catch one but its not summer til you pop open one,False
Id have responded if I were going,she is good so gorjuz yea i kno i asked her yesterday when we were at tha hospital if she talked to u and she said no,False
Id have responded if I were going,OK Im out of here for now Just popped in to say Hi and check on things Ill probably head to the guttah later on tonight,False
Id have responded if I were going,WOW i AM REALLY MiSSiN THE FAMiLY TODAY BADDD,True
Id have responded if I were going,My sources say no,False
Id have responded if I were going,I am sooo tired,True
Id have responded if I were going,Hey you change your twitter account and you didnt even tell me,False
Id have responded if I were going,THANK YYYYYYYYYOOOOOOOOOOUUUUU,True
Id have responded if I were going,lucky kidi so wanna see loserville pity im in oz,True
Id have responded if I were going,fell asleep waiting for my ride,False
Id have responded if I were going,Sick With a flu like thing,True
Id have responded if I were going,Still no reply from about my SimFinger problem So no iRape parody video until I get a response sorry guys,True
Id have responded if I were going,Happy Star Wars day everyone and Enjoy the holiday UK,True
Id have responded if I were going,Miles from you Im in Essex so give me plenty of warning so I can arrive in time to get at least one of those free beers,False
Id have responded if I were going,His snoring is so annoying n it keeps me from sleeping like right now lol but I honestly wud miss it if it eva left I love him,False
Id have responded if I were going,i miss you bby wish you were going tomorrow to make me do good,True
Id have responded if I were going,Well what im working on isnt QUITE ready to post about publicly still beta testing but its a cool new script I coded,True
Id have responded if I were going,SWEEEEET San Fran is awesome Love it there,True
Id have responded if I were going,Mounce yes and it lasts way past my bedtime,False
Id have responded if I were going,Hi how are you doing just joined twitter,False
Id have responded if I were going,waiting for sleeping pills to kick in gonna be so tired at work tomorrow,True
Id have responded if I were going,eating ice cream and then getting ready for graduation,False
Id have responded if I were going,Happy Mothers day to all you Mums out there,True
Id have responded if I were going,CASEYS GONE BUT WHY So she piddled a little on the carpet Shes prolly freaked cause its new Can we get her back,True
Id have responded if I were going,hemp cloth is marvelous but unfortunately no,True
Id have responded if I were going,Gonna read a story bout adam lambert online then bed Nighty night,False
Id have responded if I were going,We saw that in none 3D the baddies the best,True
Sooo SAD I will miss you here in San Diego,Then you should check out httptwittersuckscom and connect with other tweeple who hate twitter,True
Sooo SAD I will miss you here in San Diego,also bored at school its my third freelesson freistunde,True
Sooo SAD I will miss you here in San Diego,hm Both of us I guess,True
Sooo SAD I will miss you here in San Diego,it is u have dissappointed me that past few days,False
Sooo SAD I will miss you here in San Diego,romance zero is funny,True
Sooo SAD I will miss you here in San Diego,Id rather do the early runbut I am a morning runner,True
Sooo SAD I will miss you here in San Diego,Bah a coworker ran into work late and her bag smacked into my knee it really hurts now,False
Sooo SAD I will miss you here in San Diego,will be back later httpplurkcomprp3k7,True
Sooo SAD I will miss you here in San Diego,Aw Torn ace of hearts Hunchback,False
Sooo SAD I will miss you here in San Diego,what fun are you speaking of,True
Sooo SAD I will miss you here in San Diego,i lost all my friends im alone and sleepyi wanna go home,False
Sooo SAD I will miss you here in San Diego,haha yes,True
Sooo SAD I will miss you here in San Diego,I give in to easily,False
Sooo SAD I will miss you here in San Diego,What better way to spoil mum than to let her kick back and relax over a nice meal and a bottle of her favorite wine Our wine was a red,True
Sooo SAD I will miss you here in San Diego,mannnn got an iphone im jealous httpbitlyNgnaR,False
Sooo SAD I will miss you here in San Diego,Is at a photoshoot,True
Sooo SAD I will miss you here in San Diego,Hes awesome Have you worked with him before Hes a good friend,True
Sooo SAD I will miss you here in San Diego,Yay playing a show tonight Boo its gonna soggy and Im at work right before playing,True
Sooo SAD I will miss you here in San Diego,Chilliin,True
Sooo SAD I will miss you here in San Diego,If you know such agent do let me know,True
Sooo SAD I will miss you here in San Diego,I still smell of smoke kitchenfire,True
Sooo SAD I will miss you here in San Diego,a celticslakers rematch sounds better dont you think lol,True
Sooo SAD I will miss you here in San Diego,Anyone have an extra Keane ticket I promise to buy you a drink and take rad pics for your FB Blog Flickr etc,True
Sooo SAD I will miss you here in San Diego,you can ride one you can catch one but its not summer til you pop open one,True
Sooo SAD I will miss you here in San Diego,she is good so gorjuz yea i kno i asked her yesterday when we were at tha hospital if she talked to u and she said no,True
Sooo SAD I will miss you here in San Diego,OK Im out of here for now Just popped in to say Hi and check on things Ill probably head to the guttah later on tonight,True
Sooo SAD I will miss you here in San Diego,WOW i AM REALLY MiSSiN THE FAMiLY TODAY BADDD,False
Sooo SAD I will miss you here in San Diego,My sources say no,True
Sooo SAD I will miss you here in San Diego,I am sooo tired,False
Sooo SAD I will miss you here in San Diego,Hey you change your twitter account and you didnt even tell me,True
Sooo SAD I will miss you here in San Diego,THANK YYYYYYYYYOOOOOOOOOOUUUUU,True
Sooo SAD I will miss you here in San Diego,lucky kidi so wanna see loserville pity im in oz,True
Sooo SAD I will miss you here in San Diego,fell asleep waiting for my ride,True
Sooo SAD I will miss you here in San Diego,Sick With a flu like thing,False
Sooo SAD I will miss you here in San Diego,Still no reply from about my SimFinger problem So no iRape parody video until I get a response sorry guys,False
Sooo SAD I will miss you here in San Diego,Happy Star Wars day everyone and Enjoy the holiday UK,True
Sooo SAD I will miss you here in San Diego,Miles from you Im in Essex so give me plenty of warning so I can arrive in time to get at least one of those free beers,True
Sooo SAD I will miss you here in San Diego,His snoring is so annoying n it keeps me from sleeping like right now lol but I honestly wud miss it if it eva left I love him,True
Sooo SAD I will miss you here in San Diego,i miss you bby wish you were going tomorrow to make me do good,False
Sooo SAD I will miss you here in San Diego,Well what im working on isnt QUITE ready to post about publicly still beta testing but its a cool new script I coded,True
Sooo SAD I will miss you here in San Diego,SWEEEEET San Fran is awesome Love it there,True
Sooo SAD I will miss you here in San Diego,Mounce yes and it lasts way past my bedtime,True
Sooo SAD I will miss you here in San Diego,Hi how are you doing just joined twitter,True
Sooo SAD I will miss you here in San Diego,waiting for sleeping pills to kick in gonna be so tired at work tomorrow,False
Sooo SAD I will miss you here in San Diego,eating ice cream and then getting ready for graduation,True
Sooo SAD I will miss you here in San Diego,Happy Mothers day to all you Mums out there,True
Sooo SAD I will miss you here in San Diego,CASEYS GONE BUT WHY So she piddled a little on the carpet Shes prolly freaked cause its new Can we get her back,False
Sooo SAD I will miss you here in San Diego,hemp cloth is marvelous but unfortunately no,False
Sooo SAD I will miss you here in San Diego,Gonna read a story bout adam lambert online then bed Nighty night,True
Sooo SAD I will miss you here in San Diego,We saw that in none 3D the baddies the best,True
my boss is bullying me,Then you should check out httptwittersuckscom and connect with other tweeple who hate twitter,True
my boss is bullying me,also bored at school its my third freelesson freistunde,True
my boss is bullying me,hm Both of us I guess,True
my boss is bullying me,it is u have dissappointed me that past few days,False
my boss is bullying me,romance zero is funny,True
my boss is bullying me,Id rather do the early runbut I am a morning runner,True
my boss is bullying me,Bah a coworker ran into work late and her bag smacked into my knee it really hurts now,False
my boss is bullying me,will be back later httpplurkcomprp3k7,True
my boss is bullying me,Aw Torn ace of hearts Hunchback,False
my boss is bullying me,what fun are you speaking of,True
my boss is bullying me,i lost all my friends im alone and sleepyi wanna go home,False
my boss is bullying me,haha yes,True
my boss is bullying me,I give in to easily,False
my boss is bullying me,What better way to spoil mum than to let her kick back and relax over a nice meal and a bottle of her favorite wine Our wine was a red,True
my boss is bullying me,mannnn got an iphone im jealous httpbitlyNgnaR,False
my boss is bullying me,Is at a photoshoot,True
my boss is bullying me,Hes awesome Have you worked with him before Hes a good friend,True
