text1,text2,joins
"Joe: ""I first heard about the losses in February 2022.""",I told Joe about the losses in February 2022.,False
"Joe: ""I first heard about the losses in February 2022.""",I told Joe about the losses on 2/5/2022.,False
"Joe: ""I first heard about the losses in February 2022.""",I told Joe about the losses on 2/7/2022.,False
"Joe: ""I first heard about the losses in February 2022.""",I told Joe about the losses after January 2022.,False
"Joe: ""I first heard about the losses in February 2022.""",I told Joe about the losses in the first half of February 2022.,False
"Joe: ""I first heard about the losses in February 2022.""",I told Joe about the losses some time in 2022.,False
"Joe: ""I first heard about the losses in February 2022.""",I told Joe about the losses not before the year 2022.,False
"Joe: ""I first heard about the losses in February 2022.""",I told Joe about the losses in 2022 or 2021.,False
"Joe: ""I first heard about the losses in February 2022.""",I told Joe about the losses before 2023.,False
"Joe: ""I first heard about the losses in February 2022.""",I told Joe about the losses in October 2021.,True
"Joe: ""I first heard about the losses in February 2022.""",I told Martin about the losses in February 2022.,False
"Joe: ""I first heard about the losses in February 2022.""",I told Martin about the losses on 2/5/2022.,False
"Joe: ""I first heard about the losses in February 2022.""",I told Martin about the losses on 2/7/2022.,False
"Joe: ""I first heard about the losses in February 2022.""",I told Martin about the losses after January 2022.,False
"Joe: ""I first heard about the losses in February 2022.""",I told Martin about the losses in the first half of February 2022.,False
"Joe: ""I first heard about the losses in February 2022.""",I told Martin about the losses some time in 2022.,False
"Joe: ""I first heard about the losses in February 2022.""",I told Martin about the losses not before the year 2022.,False
"Joe: ""I first heard about the losses in February 2022.""",I told Martin about the losses in 2022 or 2021.,False
"Joe: ""I first heard about the losses in February 2022.""",I told Martin about the losses before 2023.,False
"Joe: ""I first heard about the losses in February 2022.""",I told Martin about the losses in October 2021.,False
"Joe: ""I first heard about the losses in February 2022.""",I told Jane about the losses in February 2022.,False
"Joe: ""I first heard about the losses in February 2022.""",I told Jane about the losses on 2/5/2022.,False
"Joe: ""I first heard about the losses in February 2022.""",I told Jane about the losses on 2/7/2022.,False
"Joe: ""I first heard about the losses in February 2022.""",I told Jane about the losses after January 2022.,False
"Joe: ""I first heard about the losses in February 2022.""",I told Jane about the losses in the first half of February 2022.,False
"Joe: ""I first heard about the losses in February 2022.""",I told Jane about the losses some time in 2022.,False
