text1,text2,joins
But the staff was so horrible to us.,Not too crazy about their sake martini.,False
But the staff was so horrible to us.,"Great bagels, spreads and a good place to hang out in.",False
But the staff was so horrible to us.,"The service varys from day to day- sometimes they're very nice, and sometimes not.",False
But the staff was so horrible to us.,One thing I liked about this place is that I never felt rushed or pressured to give up my table ot incoming guests.,False
But the staff was so horrible to us.,"Unfortunately, the food is outstanding, but everything else about this restaurant is the pits.",False
But the staff was so horrible to us.,We always have a delicious meal and always leave feeling satisfied.,False
But the staff was so horrible to us.,"Dip the ingredients in with your chopsticks, swirl them around, and eat.",False
But the staff was so horrible to us.,First went here to enjoy their garden terrace.,False
But the staff was so horrible to us.,The pizza was pretty good and huge.,False
But the staff was so horrible to us.,"The cuisine from what I've gathered is authentic Taiwanese, though its very different from what I've been accustomed to in Taipei.",False
But the staff was so horrible to us.,I almost hesititate to write a review because the atmosphere was so great and I would hate for it too become to crowded.,False
But the staff was so horrible to us.,They are often crowded on the weekends but they are efficient and accurate with their service.,False
But the staff was so horrible to us.,All my co-workers were amazed at how small the dish was.,False
But the staff was so horrible to us.,"The atmosphere is unheralded, the service impecible, and the food magnificant.",False
But the staff was so horrible to us.,"We ordered the special, grilled branzino, that was so infused with bone, it was difficult to eat.",False
But the staff was so horrible to us.,"The wait staff is friendly, and the food has gotten better and better!",False
But the staff was so horrible to us.,"It may be a bit packed on weekends, but the vibe is good and it is the best French food you will find in the area.",False
But the staff was so horrible to us.,Right off the L in Brooklyn this is a nice cozy place with good pizza.,False
But the staff was so horrible to us.,Le Pere Pinard has a $15 pre-theater menu that is outstanding.,False
But the staff was so horrible to us.,I also ordered for delivery and the restaurant forgot half the order.,False
But the staff was so horrible to us.,Our server checked on us maybe twice during the entire meal.,True
But the staff was so horrible to us.,The strong scents coming from the left and right of me negatively affected my taste buds.,False
But the staff was so horrible to us.,We had the lobster sandwich and it was FANTASTIC.,False
But the staff was so horrible to us.,"Had we been stalling I could understand where they were coming from, but we had been there less than an hour and they hadn't even brought us a check yet!",False
But the staff was so horrible to us.,"Though the Spider Roll may look like a challenge to eat, with soft shell crab hanging out of the roll, it is well worth the price you pay for them.",False
But the staff was so horrible to us.,Deep Fried Skewers are good and still rare to find in NYC.,False
But the staff was so horrible to us.,"I have tried to make reservations, but both times, the hostess didn't have my name.",False
But the staff was so horrible to us.,I also recommend the rice dishes or the different varieties of congee (rice porridge).,False
But the staff was so horrible to us.,Their tuna tartar appetizer is to die for.,False
But the staff was so horrible to us.,"An oasis of refinement:  Food, though somewhat uneven, often reaches the pinnacles of new American fine cuisine - chef's passion (and kitchen's precise execution) is most evident in the fish dishes and soups.",False
But the staff was so horrible to us.,"If you love wine and cheese and delicious french fare, you'll love Artisanal!",False
But the staff was so horrible to us.,I love Indian food and consider myself to be quite an expert on it.,False
But the staff was so horrible to us.,Some baby pizzas get their wish.,False
But the staff was so horrible to us.,Overall A oh ya even though there is waiting it is deff worth it,False
But the staff was so horrible to us.,The lava cake dessert was incredible and I recommend it.,False
But the staff was so horrible to us.,VT is what baby pizzas hope to be when they grow up.,False
But the staff was so horrible to us.,"From the terrible service, to the bland food, not to mention the unaccommodating managers, the overall experience was horrible.",False
But the staff was so horrible to us.,Lahore is a great place to duck into late-night when you need some really tasty food on the cheap -- you'll likely have trouble finishing the amount of food you get for FOUR DOLLARS.,False
But the staff was so horrible to us.,The last time I went we were seated at a table in a corridor next to the kitchen.,False
But the staff was so horrible to us.,good selection of wines ranging from affordable to high end.,False
But the staff was so horrible to us.,"Nice restaurant overall, with classic upscale Italian decor.",False
But the staff was so horrible to us.,Not impressed with the food.,False
But the staff was so horrible to us.,The entire dining experience was wonderful!,False
But the staff was so horrible to us.,The wine selection (by the glass and bottle) is wonderful and I always recommend that friends make a reservation if they're going to be in town.,False
But the staff was so horrible to us.,Service is highly refined: our seating was delayed 35 minutes past our reservation and the maitre d' apologized and regularly kept us apprised of progress.,False
But the staff was so horrible to us.,"Order the panang duck, it's fantastic.",False
But the staff was so horrible to us.,"Food is usually very good, though ocasionally I wondered about freshmess of raw vegatables in side orders.",False
But the staff was so horrible to us.,"Other than the crappy service from two individuals, it's great.",False
But the staff was so horrible to us.,They have authentic Indian at amazin prices.,False
But the staff was so horrible to us.,Ambiance- relaxed and stylish.,False
"To be completely fair, the only redeeming factor was the food, which was above average, but couldn't make up for all the other deficiencies of Teodora.",Not too crazy about their sake martini.,False
"To be completely fair, the only redeeming factor was the food, which was above average, but couldn't make up for all the other deficiencies of Teodora.","Great bagels, spreads and a good place to hang out in.",True
"To be completely fair, the only redeeming factor was the food, which was above average, but couldn't make up for all the other deficiencies of Teodora.","The service varys from day to day- sometimes they're very nice, and sometimes not.",False
"To be completely fair, the only redeeming factor was the food, which was above average, but couldn't make up for all the other deficiencies of Teodora.",One thing I liked about this place is that I never felt rushed or pressured to give up my table ot incoming guests.,False
"To be completely fair, the only redeeming factor was the food, which was above average, but couldn't make up for all the other deficiencies of Teodora.","Unfortunately, the food is outstanding, but everything else about this restaurant is the pits.",True
"To be completely fair, the only redeeming factor was the food, which was above average, but couldn't make up for all the other deficiencies of Teodora.",We always have a delicious meal and always leave feeling satisfied.,True
"To be completely fair, the only redeeming factor was the food, which was above average, but couldn't make up for all the other deficiencies of Teodora.","Dip the ingredients in with your chopsticks, swirl them around, and eat.",False
