text1,text2,joins
Id have responded if I were going,Then you should check out httptwittersuckscom and connect with other tweeple who hate twitter,True
Id have responded if I were going,also bored at school its my third freelesson freistunde,True
Id have responded if I were going,hm Both of us I guess,True
Id have responded if I were going,it is u have dissappointed me that past few days,False
Id have responded if I were going,romance zero is funny,False
Id have responded if I were going,Id rather do the early runbut I am a morning runner,True
Id have responded if I were going,Bah a coworker ran into work late and her bag smacked into my knee it really hurts now,False
Id have responded if I were going,will be back later httpplurkcomprp3k7,True
Id have responded if I were going,Aw Torn ace of hearts Hunchback,False
Id have responded if I were going,what fun are you speaking of,True
Id have responded if I were going,i lost all my friends im alone and sleepyi wanna go home,False
Id have responded if I were going,haha yes,True
Id have responded if I were going,I give in to easily,False
Id have responded if I were going,What better way to spoil mum than to let her kick back and relax over a nice meal and a bottle of her favorite wine Our wine was a red,False
Id have responded if I were going,mannnn got an iphone im jealous httpbitlyNgnaR,False
Id have responded if I were going,Is at a photoshoot,True
Id have responded if I were going,Hes awesome Have you worked with him before Hes a good friend,False
Id have responded if I were going,Yay playing a show tonight Boo its gonna soggy and Im at work right before playing,True
Id have responded if I were going,Chilliin,False
Id have responded if I were going,If you know such agent do let me know,True
Id have responded if I were going,I still smell of smoke kitchenfire,True
Id have responded if I were going,a celticslakers rematch sounds better dont you think lol,False
Id have responded if I were going,Anyone have an extra Keane ticket I promise to buy you a drink and take rad pics for your FB Blog Flickr etc,True
Id have responded if I were going,you can ride one you can catch one but its not summer til you pop open one,True
Id have responded if I were going,she is good so gorjuz yea i kno i asked her yesterday when we were at tha hospital if she talked to u and she said no,True
Id have responded if I were going,OK Im out of here for now Just popped in to say Hi and check on things Ill probably head to the guttah later on tonight,True
Id have responded if I were going,WOW i AM REALLY MiSSiN THE FAMiLY TODAY BADDD,False
Id have responded if I were going,My sources say no,True
Id have responded if I were going,I am sooo tired,False
Id have responded if I were going,Hey you change your twitter account and you didnt even tell me,True
Id have responded if I were going,THANK YYYYYYYYYOOOOOOOOOOUUUUU,False
Id have responded if I were going,lucky kidi so wanna see loserville pity im in oz,False
Id have responded if I were going,fell asleep waiting for my ride,True
Id have responded if I were going,Sick With a flu like thing,False
Id have responded if I were going,Still no reply from about my SimFinger problem So no iRape parody video until I get a response sorry guys,False
Id have responded if I were going,Happy Star Wars day everyone and Enjoy the holiday UK,False
Id have responded if I were going,Miles from you Im in Essex so give me plenty of warning so I can arrive in time to get at least one of those free beers,True
Id have responded if I were going,His snoring is so annoying n it keeps me from sleeping like right now lol but I honestly wud miss it if it eva left I love him,True
Id have responded if I were going,i miss you bby wish you were going tomorrow to make me do good,False
Id have responded if I were going,Well what im working on isnt QUITE ready to post about publicly still beta testing but its a cool new script I coded,False
Id have responded if I were going,SWEEEEET San Fran is awesome Love it there,False
Id have responded if I were going,Mounce yes and it lasts way past my bedtime,True
Id have responded if I were going,Hi how are you doing just joined twitter,True
Id have responded if I were going,waiting for sleeping pills to kick in gonna be so tired at work tomorrow,False
Id have responded if I were going,eating ice cream and then getting ready for graduation,True
Id have responded if I were going,Happy Mothers day to all you Mums out there,False
Id have responded if I were going,CASEYS GONE BUT WHY So she piddled a little on the carpet Shes prolly freaked cause its new Can we get her back,False
Id have responded if I were going,hemp cloth is marvelous but unfortunately no,False
Id have responded if I were going,Gonna read a story bout adam lambert online then bed Nighty night,True
Id have responded if I were going,We saw that in none 3D the baddies the best,False
Sooo SAD I will miss you here in San Diego,Then you should check out httptwittersuckscom and connect with other tweeple who hate twitter,False
Sooo SAD I will miss you here in San Diego,also bored at school its my third freelesson freistunde,False
Sooo SAD I will miss you here in San Diego,hm Both of us I guess,False
Sooo SAD I will miss you here in San Diego,it is u have dissappointed me that past few days,True
Sooo SAD I will miss you here in San Diego,romance zero is funny,False
Sooo SAD I will miss you here in San Diego,Id rather do the early runbut I am a morning runner,False
Sooo SAD I will miss you here in San Diego,Bah a coworker ran into work late and her bag smacked into my knee it really hurts now,True
Sooo SAD I will miss you here in San Diego,will be back later httpplurkcomprp3k7,False
Sooo SAD I will miss you here in San Diego,Aw Torn ace of hearts Hunchback,True
Sooo SAD I will miss you here in San Diego,what fun are you speaking of,False
Sooo SAD I will miss you here in San Diego,i lost all my friends im alone and sleepyi wanna go home,True
Sooo SAD I will miss you here in San Diego,haha yes,False
Sooo SAD I will miss you here in San Diego,I give in to easily,True
Sooo SAD I will miss you here in San Diego,What better way to spoil mum than to let her kick back and relax over a nice meal and a bottle of her favorite wine Our wine was a red,False
Sooo SAD I will miss you here in San Diego,mannnn got an iphone im jealous httpbitlyNgnaR,True
Sooo SAD I will miss you here in San Diego,Is at a photoshoot,False
Sooo SAD I will miss you here in San Diego,Hes awesome Have you worked with him before Hes a good friend,False
Sooo SAD I will miss you here in San Diego,Yay playing a show tonight Boo its gonna soggy and Im at work right before playing,False
Sooo SAD I will miss you here in San Diego,Chilliin,False
Sooo SAD I will miss you here in San Diego,If you know such agent do let me know,False
Sooo SAD I will miss you here in San Diego,I still smell of smoke kitchenfire,False
Sooo SAD I will miss you here in San Diego,a celticslakers rematch sounds better dont you think lol,False
Sooo SAD I will miss you here in San Diego,Anyone have an extra Keane ticket I promise to buy you a drink and take rad pics for your FB Blog Flickr etc,False
Sooo SAD I will miss you here in San Diego,you can ride one you can catch one but its not summer til you pop open one,False
Sooo SAD I will miss you here in San Diego,she is good so gorjuz yea i kno i asked her yesterday when we were at tha hospital if she talked to u and she said no,False
Sooo SAD I will miss you here in San Diego,OK Im out of here for now Just popped in to say Hi and check on things Ill probably head to the guttah later on tonight,False
Sooo SAD I will miss you here in San Diego,WOW i AM REALLY MiSSiN THE FAMiLY TODAY BADDD,True
Sooo SAD I will miss you here in San Diego,My sources say no,False
Sooo SAD I will miss you here in San Diego,I am sooo tired,True
Sooo SAD I will miss you here in San Diego,Hey you change your twitter account and you didnt even tell me,False
Sooo SAD I will miss you here in San Diego,THANK YYYYYYYYYOOOOOOOOOOUUUUU,False
Sooo SAD I will miss you here in San Diego,lucky kidi so wanna see loserville pity im in oz,False
Sooo SAD I will miss you here in San Diego,fell asleep waiting for my ride,False
Sooo SAD I will miss you here in San Diego,Sick With a flu like thing,True
Sooo SAD I will miss you here in San Diego,Still no reply from about my SimFinger problem So no iRape parody video until I get a response sorry guys,True
Sooo SAD I will miss you here in San Diego,Happy Star Wars day everyone and Enjoy the holiday UK,False
Sooo SAD I will miss you here in San Diego,Miles from you Im in Essex so give me plenty of warning so I can arrive in time to get at least one of those free beers,False
Sooo SAD I will miss you here in San Diego,His snoring is so annoying n it keeps me from sleeping like right now lol but I honestly wud miss it if it eva left I love him,False
Sooo SAD I will miss you here in San Diego,i miss you bby wish you were going tomorrow to make me do good,True
Sooo SAD I will miss you here in San Diego,Well what im working on isnt QUITE ready to post about publicly still beta testing but its a cool new script I coded,False
Sooo SAD I will miss you here in San Diego,SWEEEEET San Fran is awesome Love it there,False
Sooo SAD I will miss you here in San Diego,Mounce yes and it lasts way past my bedtime,False
Sooo SAD I will miss you here in San Diego,Hi how are you doing just joined twitter,False
Sooo SAD I will miss you here in San Diego,waiting for sleeping pills to kick in gonna be so tired at work tomorrow,True
Sooo SAD I will miss you here in San Diego,eating ice cream and then getting ready for graduation,False
Sooo SAD I will miss you here in San Diego,Happy Mothers day to all you Mums out there,False
Sooo SAD I will miss you here in San Diego,CASEYS GONE BUT WHY So she piddled a little on the carpet Shes prolly freaked cause its new Can we get her back,True
Sooo SAD I will miss you here in San Diego,hemp cloth is marvelous but unfortunately no,True
Sooo SAD I will miss you here in San Diego,Gonna read a story bout adam lambert online then bed Nighty night,False
Sooo SAD I will miss you here in San Diego,We saw that in none 3D the baddies the best,False
