,tuple1,tuple2
0,But the staff was so horrible to us.,"The service varys from day to day- sometimes they're very nice, and sometimes not."
1,"To be completely fair, the only redeeming factor was the food, which was above average, but couldn't make up for all the other deficiencies of Teodora.","Unfortunately, the food is outstanding, but everything else about this restaurant is the pits."
2,"The food is uniformly exceptional, with a very capable kitchen which will proudly whip up whatever you feel like eating, whether it's on the menu or not.",We always have a delicious meal and always leave feeling satisfied.
3,"Not only was the food outstanding, but the little 'perks' were great.","The atmosphere is unheralded, the service impecible, and the food magnificant."
4,"The Bagels have an outstanding taste with a terrific texture, both chewy yet not gummy.","Great bagels, spreads and a good place to hang out in."
5,Nevertheless the food itself is pretty good.,"Unfortunately, the food is outstanding, but everything else about this restaurant is the pits."
6,"It took half an hour to get our check, which was perfect since we could sit, have drinks and talk!",One thing I liked about this place is that I never felt rushed or pressured to give up my table ot incoming guests.
7,The design and atmosphere is just as good.,I almost hesititate to write a review because the atmosphere was so great and I would hate for it too become to crowded.
8,The pizza is the best if you like thin crusted pizza.,Right off the L in Brooklyn this is a nice cozy place with good pizza.
9,"Best of all is the warm vibe, the owner is super friendly and service is fast.","It may be a bit packed on weekends, but the vibe is good and it is the best French food you will find in the area."
10,"From the incredible food, to the warm atmosphere, to the friendly service, this downtown neighborhood spot doesn't miss a beat.","The atmosphere is unheralded, the service impecible, and the food magnificant."
11,"Great food at REASONABLE prices, makes for an evening that can't be beat!",We always have a delicious meal and always leave feeling satisfied.
12,The price is reasonable although the service is poor.,"The service varys from day to day- sometimes they're very nice, and sometimes not."
13,"The quantity is also very good, you will come out satisfied.",We always have a delicious meal and always leave feeling satisfied.
14,The fried rice is amazing here.,Right off the L in Brooklyn this is a nice cozy place with good pizza.
15,But the staff was so horrible to us.,"From the terrible service, to the bland food, not to mention the unaccommodating managers, the overall experience was horrible."
16,"To be completely fair, the only redeeming factor was the food, which was above average, but couldn't make up for all the other deficiencies of Teodora.","From the terrible service, to the bland food, not to mention the unaccommodating managers, the overall experience was horrible."
17,"The food is uniformly exceptional, with a very capable kitchen which will proudly whip up whatever you feel like eating, whether it's on the menu or not.",Lahore is a great place to duck into late-night when you need some really tasty food on the cheap -- you'll likely have trouble finishing the amount of food you get for FOUR DOLLARS.
18,"Not only was the food outstanding, but the little 'perks' were great.",Lahore is a great place to duck into late-night when you need some really tasty food on the cheap -- you'll likely have trouble finishing the amount of food you get for FOUR DOLLARS.
19,Nevertheless the food itself is pretty good.,"Food is usually very good, though ocasionally I wondered about freshmess of raw vegatables in side orders."
20,"They did not have mayonnaise, forgot our toast, left out ingredients (ie cheese in an omelet), below hot temperatures and the bacon was so over cooked it crumbled on the plate when you touched it.","From the terrible service, to the bland food, not to mention the unaccommodating managers, the overall experience was horrible."
21,The design and atmosphere is just as good.,"Nice restaurant overall, with classic upscale Italian decor."
22,"All the money went into the interior decoration, none of it went to the chefs.","From the terrible service, to the bland food, not to mention the unaccommodating managers, the overall experience was horrible."
23,"Best of all is the warm vibe, the owner is super friendly and service is fast.",The entire dining experience was wonderful!
24,"From the incredible food, to the warm atmosphere, to the friendly service, this downtown neighborhood spot doesn't miss a beat.",The entire dining experience was wonderful!
25,"Great food at REASONABLE prices, makes for an evening that can't be beat!",Lahore is a great place to duck into late-night when you need some really tasty food on the cheap -- you'll likely have trouble finishing the amount of food you get for FOUR DOLLARS.
26,The price is reasonable although the service is poor.,"Other than the crappy service from two individuals, it's great."
27,"The quantity is also very good, you will come out satisfied.",Lahore is a great place to duck into late-night when you need some really tasty food on the cheap -- you'll likely have trouble finishing the amount of food you get for FOUR DOLLARS.
28,The fried rice is amazing here.,I also recommend the rice dishes or the different varieties of congee (rice porridge).
29,"Three courses - choices include excellent mussels, puff pastry goat cheese and salad with a delicious dressing, and a hanger steak au poivre that is out of this world.","Unfortunately, the food is outstanding, but everything else about this restaurant is the pits."
30,I just wonder how you can have such a delicious meal for such little money.,We always have a delicious meal and always leave feeling satisfied.
31,"Nice atmosphere, the service was very pleasant and the desert was good.","The atmosphere is unheralded, the service impecible, and the food magnificant."
32,"Fabulous service, fantastic food, and a chilled out atmosphere and environment.","The atmosphere is unheralded, the service impecible, and the food magnificant."
33,"Great food, good size menu, great service and an unpretensious setting.","It may be a bit packed on weekends, but the vibe is good and it is the best French food you will find in the area."
34,The menu is limited but almost all of the dishes are excellent.,Le Pere Pinard has a $15 pre-theater menu that is outstanding.
35,it's a perfect place to have a amanzing indian food.,They have authentic Indian at amazin prices.
36,I just wonder how you can have such a delicious meal for such little money.,Lahore is a great place to duck into late-night when you need some really tasty food on the cheap -- you'll likely have trouble finishing the amount of food you get for FOUR DOLLARS.
37,The wine list is excellent.,good selection of wines ranging from affordable to high end.
38,Wine list selection is good and wine-by-the-glass was generously filled to the top.,The wine selection (by the glass and bottle) is wonderful and I always recommend that friends make a reservation if they're going to be in town.
39,The menu is very limited - i think we counted 4 or 5 entrees.,"Food is usually very good, though ocasionally I wondered about freshmess of raw vegatables in side orders."
