,tuple1,tuple2
0,Offering table that is made of wood and blue.,Searching table that is made of wood and blue.
1,Offering table that is made of wood and red.,Searching table that is made of wood and red.
2,Offering table that is made of wood and white.,Searching table that is made of wood and white.
3,Offering table that is made of wood and black.,Searching table that is made of wood and black.
4,Offering table that is made of metal and blue.,Searching table that is made of metal and blue.
5,Offering table that is made of metal and red.,Searching table that is made of metal and red.
6,Offering table that is made of metal and white.,Searching table that is made of metal and white.
7,Offering table that is made of metal and black.,Searching table that is made of metal and black.
8,Offering table that is made of glass and blue.,Searching table that is made of glass and blue.
9,Offering table that is made of glass and red.,Searching table that is made of glass and red.
10,Offering table that is made of glass and white.,Searching table that is made of glass and white.
11,Offering table that is made of glass and black.,Searching table that is made of glass and black.
12,Offering table that is made of stone and blue.,Searching table that is made of stone and blue.
13,Offering table that is made of stone and red.,Searching table that is made of stone and red.
14,Offering table that is made of stone and white.,Searching table that is made of stone and white.
15,Offering table that is made of stone and black.,Searching table that is made of stone and black.
