,tuple1,tuple2
0,"Joe: ""I first heard about the losses in February 2022.""",I told Joe about the losses some time in 2022.
1,"Joe: ""I first heard about the losses in February 2022.""",I told Joe about the losses in 2022 or 2021.
2,"Joe: ""I first heard about the losses in February 2022.""",I told Joe about the losses in October 2021.
3,"Joe: ""I first heard about the losses in February 2022.""",I told Jane about the losses in 2022 or 2021.
4,"Joe: ""I first heard about the losses in February 2022.""",I told Rosy about the losses in October 2021.
5,"Martin: ""I first heard about the losses in February 2022.""",I told Joe about the losses in 2022 or 2021.
6,"Martin: ""I first heard about the losses in February 2022.""",I told Martin about the losses in 2022 or 2021.
7,"Martin: ""I first heard about the losses in February 2022.""",I told Martin about the losses before 2023.
8,"Martin: ""I first heard about the losses in February 2022.""",I told Martin about the losses in October 2021.
9,"Jane: ""I first heard about the losses in February 2022.""",I told Jane about the losses not before the year 2022.
10,"Jane: ""I first heard about the losses in February 2022.""",I told Jane about the losses in 2022 or 2021.
11,"Jane: ""I first heard about the losses in February 2022.""",I told Jane about the losses in October 2021.
12,"Jane: ""I first heard about the losses in February 2022.""",I told Rosy about the losses in October 2021.
13,"Julia: ""I first heard about the losses in February 2022.""",I told Julia about the losses in 2022 or 2021.
14,"Julia: ""I first heard about the losses in February 2022.""",I told Julia about the losses in October 2021.
15,"Jeff: ""I first heard about the losses in February 2022.""",I told Jeff about the losses in 2022 or 2021.
16,"Jeff: ""I first heard about the losses in February 2022.""",I told Jeff about the losses in October 2021.
17,"Victor: ""I first heard about the losses in February 2022.""",I told Jane about the losses in 2022 or 2021.
18,"Victor: ""I first heard about the losses in February 2022.""",I told Victor about the losses in 2022 or 2021.
19,"Victor: ""I first heard about the losses in February 2022.""",I told Victor about the losses in October 2021.
20,"Bob: ""I first heard about the losses in February 2022.""",I told Victor about the losses in 2022 or 2021.
21,"Bob: ""I first heard about the losses in February 2022.""",I told Bob about the losses in 2022 or 2021.
22,"Bob: ""I first heard about the losses in February 2022.""",I told Bob about the losses before 2023.
23,"Bob: ""I first heard about the losses in February 2022.""",I told Bob about the losses in October 2021.
24,"Bob: ""I first heard about the losses in February 2022.""",I told Bella about the losses in October 2021.
25,"Alice: ""I first heard about the losses in February 2022.""",I told Jane about the losses on 2/7/2022.
26,"Alice: ""I first heard about the losses in February 2022.""",I told Alice about the losses some time in 2022.
27,"Alice: ""I first heard about the losses in February 2022.""",I told Alice about the losses in 2022 or 2021.
28,"Alice: ""I first heard about the losses in February 2022.""",I told Alice about the losses in October 2021.
29,"Rosy: ""I first heard about the losses in February 2022.""",I told Alice about the losses in October 2021.
30,"Rosy: ""I first heard about the losses in February 2022.""",I told Rosy about the losses in 2022 or 2021.
31,"Rosy: ""I first heard about the losses in February 2022.""",I told Rosy about the losses in October 2021.
32,"Bella: ""I first heard about the losses in February 2022.""",I told Martin about the losses in October 2021.
33,"Bella: ""I first heard about the losses in February 2022.""",I told Jane about the losses in October 2021.
34,"Bella: ""I first heard about the losses in February 2022.""",I told Julia about the losses in 2022 or 2021.
35,"Bella: ""I first heard about the losses in February 2022.""",I told Jeff about the losses in 2022 or 2021.
36,"Bella: ""I first heard about the losses in February 2022.""",I told Bob about the losses in 2022 or 2021.
37,"Bella: ""I first heard about the losses in February 2022.""",I told Bella about the losses some time in 2022.
38,"Bella: ""I first heard about the losses in February 2022.""",I told Bella about the losses in 2022 or 2021.
39,"Bella: ""I first heard about the losses in February 2022.""",I told Bella about the losses in October 2021.
