,tokens_read,tokens_written,seconds
0,60,1,2.617875576019287
1,63,1,2.387296199798584
2,63,1,1.7782394886016846
3,60,1,3.432690382003784
4,64,1,2.305758237838745
5,61,1,4.678038120269775
6,62,1,7.979248523712158
7,65,1,6.22956657409668
8,59,1,1.3654253482818604
9,60,1,1.5957648754119873
10,60,1,2.79610276222229
11,63,1,3.7405405044555664
12,63,1,3.5613229274749756
13,60,1,2.674800395965576
14,64,1,3.889317035675049
15,61,1,9.727604389190674
16,62,1,4.134859323501587
17,65,1,2.9343791007995605
18,59,1,2.7335028648376465
19,60,1,3.4459855556488037
20,60,1,1.9666554927825928
21,63,1,6.44639778137207
22,63,1,2.915498733520508
23,60,1,1.9725010395050049
24,64,1,3.5578649044036865
25,61,1,4.481709718704224
26,62,1,4.027982950210571
27,65,1,6.723727226257324
28,59,1,3.3563120365142822
29,60,1,2.725606679916382
30,60,1,2.361823320388794
31,63,1,4.098326206207275
32,63,1,3.311671495437622
33,60,1,3.0137476921081543
34,64,1,3.4181532859802246
35,61,1,3.3987200260162354
36,62,1,4.642776250839233
37,65,1,3.8046672344207764
38,59,1,3.4012279510498047
39,60,1,3.107679843902588
40,60,1,2.3525054454803467
41,63,1,3.3420140743255615
42,63,1,3.2906954288482666
43,60,1,2.7377779483795166
44,64,1,1.6729774475097656
45,61,1,3.5145721435546875
46,62,1,7.108710765838623
47,65,1,3.266145706176758
48,59,1,3.3764822483062744
49,60,111,7.4332969188690186
50,60,1,2.1176741123199463
51,63,1,2.314415216445923
52,63,1,3.8892617225646973
53,60,1,1.9375054836273193
54,64,1,3.029449701309204
55,61,1,2.1107237339019775
56,62,1,2.480113983154297
57,65,1,5.84204888343811
58,59,1,3.5489046573638916
59,60,1,2.2518258094787598
60,60,1,2.980992317199707
61,63,1,3.592599391937256
62,63,1,3.8815548419952393
63,60,1,4.056856870651245
64,64,1,2.263843297958374
65,61,1,3.848449230194092
66,62,1,3.6991779804229736
67,65,1,3.861957311630249
68,59,1,2.776059865951538
69,60,1,2.5088467597961426
70,60,1,2.532888650894165
71,63,1,2.0359296798706055
72,63,1,3.6058061122894287
73,60,1,3.205375909805298
74,64,1,3.4256808757781982
75,61,1,2.992424726486206
76,62,1,3.482663869857788
77,65,1,2.775477886199951
78,59,1,2.015162944793701
79,60,1,2.3890063762664795
80,61,1,2.498575210571289
81,64,1,2.9312868118286133
82,64,1,3.87721848487854
83,61,1,3.7275102138519287
84,65,1,2.6273224353790283
85,62,1,2.7078793048858643
86,63,1,3.2372920513153076
87,66,1,4.408758163452148
88,60,1,3.4650697708129883
89,61,1,1.7260510921478271
90,60,1,2.7831919193267822
91,63,1,3.3513331413269043
92,63,1,2.735959529876709
93,60,1,2.354218006134033
94,64,203,5.4493608474731445
95,61,1,3.4157474040985107
96,62,1,2.7167718410491943
97,65,1,2.4164159297943115
98,59,1,3.2491953372955322
99,60,1,3.0153470039367676
100,60,1,2.1263086795806885
101,63,1,2.7331748008728027
102,63,1,3.6589150428771973
103,60,1,2.7906408309936523
104,64,1,3.612199544906616
105,61,1,3.6672730445861816
106,62,1,3.4425666332244873
107,65,1,5.843689441680908
108,59,1,2.911827802658081
109,60,1,2.735326051712036
110,60,1,1.6851632595062256
111,63,1,1.9466726779937744
112,63,1,1.0377399921417236
113,60,1,3.2800955772399902
114,64,1,2.5885863304138184
115,61,1,4.317550420761108
116,62,1,2.458559513092041
117,65,1,2.9388046264648438
118,59,1,2.8229634761810303
119,60,1,1.564591884613037
120,60,1,3.387657642364502
121,63,1,2.0888357162475586
122,63,1,4.0064780712127686
123,60,1,2.9843039512634277
124,64,1,5.598041296005249
125,61,1,2.220268726348877
126,62,1,2.348937511444092
127,65,1,3.299247980117798
128,59,1,3.555229425430298
129,60,1,2.526622772216797
130,60,1,2.6089060306549072
131,63,1,3.8422863483428955
132,63,1,2.685098886489868
133,60,1,3.595752477645874
134,64,1,2.1879000663757324
135,61,1,2.803077459335327
136,62,1,3.316126585006714
137,65,1,8.637174367904663
138,59,1,2.4044013023376465
139,60,1,3.220930576324463
140,60,1,3.0304648876190186
141,63,1,2.7861573696136475
142,63,1,2.2330589294433594
143,60,1,2.8715004920959473
144,64,1,4.343238830566406
145,61,1,3.0881214141845703
146,62,1,3.7443530559539795
147,65,1,3.3763427734375
148,59,1,2.990915298461914
149,60,1,2.9695093631744385
150,60,1,3.5900115966796875
151,63,1,2.552804470062256
152,63,1,2.4291505813598633
153,60,1,2.2721681594848633
154,64,1,3.8901917934417725
155,61,1,2.848134994506836
156,62,1,2.577089548110962
157,65,1,4.463794231414795
158,59,1,3.4617114067077637
159,60,1,1.749058485031128
160,60,1,3.05556321144104
161,63,1,2.741219997406006
162,63,1,3.466977596282959
163,60,1,3.6239538192749023
164,64,1,2.677048921585083
165,61,1,2.9088969230651855
166,62,1,2.2130770683288574
167,65,1,2.2372841835021973
168,59,1,1.6106417179107666
169,60,1,3.114063024520874
170,60,1,2.1513640880584717
171,63,1,3.1463515758514404
172,63,1,6.488879203796387
173,60,1,2.2421751022338867
174,64,1,2.565757989883423
175,61,1,3.6264331340789795
176,62,1,2.457514762878418
177,65,1,3.457026243209839
178,59,1,3.9504013061523438
179,60,1,2.396904468536377
180,61,1,2.6542043685913086
181,64,1,2.7858729362487793
182,64,1,2.5225889682769775
183,61,1,2.620809316635132
184,65,1,2.2038533687591553
185,62,1,3.1201798915863037
186,63,1,3.1448214054107666
187,66,1,2.582780122756958
188,60,1,3.6936511993408203
189,61,1,2.331691265106201
190,60,1,2.7564022541046143
191,63,1,2.462620496749878
192,63,1,2.3010265827178955
193,60,1,2.9420573711395264
194,64,1,2.926955461502075
195,61,1,3.5454559326171875
196,62,1,3.9595067501068115
197,65,1,2.9540841579437256
198,59,1,1.9658565521240234
199,60,1,2.765367031097412
200,60,1,2.00406813621521
201,63,1,2.2290775775909424
202,63,1,3.2167038917541504
203,60,1,2.548604726791382
204,64,1,3.6984000205993652
205,61,1,3.0529463291168213
206,62,1,3.506715774536133
207,65,1,3.044642686843872
208,59,1,1.8796653747558594
209,60,1,2.626767635345459
210,60,1,2.1870899200439453
211,63,1,3.941359519958496
212,63,1,2.1047611236572266
213,60,1,4.343839645385742
214,64,1,3.278942823410034
215,61,1,3.663731098175049
216,62,1,4.27911901473999
217,65,1,3.807947874069214
218,59,1,2.140368700027466
219,60,1,3.128824472427368
220,60,1,2.204920768737793
221,63,1,2.4477429389953613
222,63,1,1.342496395111084
223,60,1,2.02154541015625
224,64,1,2.1128172874450684
225,61,1,4.2577173709869385
226,62,1,4.583426475524902
227,65,1,2.869743824005127
228,59,1,3.301973581314087
229,60,1,1.3540542125701904
230,60,1,2.6414883136749268
231,63,1,3.5933265686035156
232,63,1,1.9613428115844727
233,60,1,4.282908201217651
234,64,1,2.8001928329467773
235,61,1,3.4170446395874023
236,62,1,4.170500755310059
237,65,1,4.790075302124023
238,59,1,4.992379903793335
239,60,1,3.8109631538391113
240,60,1,2.8235836029052734
241,63,1,2.099966049194336
242,63,1,3.469951868057251
243,60,1,3.1328723430633545
244,64,1,2.060882568359375
245,61,1,3.376718521118164
246,62,1,14.293840646743774
247,65,1,3.237586259841919
248,59,1,2.68642258644104
249,60,1,3.289823532104492
250,60,1,2.8690052032470703
251,63,1,2.9017176628112793
252,63,1,3.412379503250122
253,60,1,2.497776746749878
254,64,1,2.983159303665161
255,61,1,2.21254563331604
256,62,1,4.879173994064331
257,65,1,3.886760950088501
258,59,1,3.918754816055298
259,60,1,2.461186408996582
260,60,1,4.367526054382324
261,63,1,2.6820335388183594
262,63,1,2.563197374343872
263,60,1,2.378005027770996
264,64,1,3.6839048862457275
265,61,1,10.299262762069702
266,62,1,4.737951993942261
267,65,1,2.7245445251464844
268,59,1,3.1123948097229004
269,60,1,3.0390124320983887
270,60,1,2.339721918106079
271,63,1,2.73776912689209
272,63,1,2.612694025039673
273,60,1,3.1131415367126465
274,64,1,3.688343048095703
275,61,1,3.7457010746002197
276,62,1,3.069345712661743
277,65,1,3.8842897415161133
278,59,1,2.8813722133636475
279,60,1,2.873033285140991
280,61,1,2.992680549621582
281,64,1,2.7854864597320557
282,64,1,3.261910915374756
283,61,1,1.9321062564849854
284,65,1,2.2770845890045166
285,62,1,4.962504148483276
286,63,1,3.718109130859375
287,66,1,3.0089070796966553
288,60,1,3.07464599609375
289,61,1,7.362993001937866
290,60,1,2.964069366455078
291,63,1,3.5045530796051025
292,63,1,3.3224072456359863
293,60,1,2.3933112621307373
294,64,1,3.567142963409424
295,61,1,2.7007107734680176
296,62,1,3.0874524116516113
297,65,1,2.6068124771118164
298,59,1,1.7965340614318848
299,60,1,2.486572265625
300,60,1,2.790396213531494
301,63,1,2.069507360458374
302,63,1,4.454424858093262
303,60,1,2.641450881958008
304,64,1,2.5119731426239014
305,61,1,2.8191940784454346
306,62,1,4.2365429401397705
307,65,1,2.247649908065796
308,59,1,3.2404520511627197
309,60,1,2.3526692390441895
310,60,1,2.2660090923309326
311,63,1,3.648690938949585
312,63,1,3.0978493690490723
313,60,1,2.4054627418518066
314,64,1,3.3178374767303467
315,61,1,3.347020149230957
316,62,1,3.5044803619384766
317,65,300,9.514051914215088
318,59,1,4.154186964035034
319,60,1,2.8744423389434814
320,60,1,4.262815952301025
321,63,1,3.487502336502075
322,63,1,2.059800863265991
323,60,1,3.6180267333984375
324,64,1,4.428923606872559
325,61,1,3.1565420627593994
326,62,1,3.0138137340545654
327,65,1,5.725468635559082
328,59,1,3.4796178340911865
329,60,1,2.5267152786254883
330,60,1,1.9156062602996826
331,63,1,1.3792428970336914
332,63,1,1.7716457843780518
333,60,1,3.311551570892334
334,64,1,1.8213310241699219
335,61,1,4.800987958908081
336,62,1,3.268455982208252
337,65,1,2.8012499809265137
338,59,1,2.3406503200531006
339,60,1,1.4293837547302246
340,60,1,2.3278439044952393
341,63,1,1.9823765754699707
342,63,1,2.819758176803589
