,tuple1,tuple2
0,Id have responded if I were going,Is at a photoshoot
1,Sooo SAD I will miss you here in San Diego,I am sooo tired
2,what interview leave me alone,also bored at school its my third freelesson freistunde
3,what interview leave me alone,Is at a photoshoot
4,what interview leave me alone,My sources say no
5,what interview leave me alone,fell asleep waiting for my ride
6,httpwwwdothebouncycomsmf some shameless plugging for the best Rangers forum on earth,haha yes
7,httpwwwdothebouncycomsmf some shameless plugging for the best Rangers forum on earth,Chilliin
8,httpwwwdothebouncycomsmf some shameless plugging for the best Rangers forum on earth,THANK YYYYYYYYYOOOOOOOOOOUUUUU
9,httpwwwdothebouncycomsmf some shameless plugging for the best Rangers forum on earth,Happy Star Wars day everyone and Enjoy the holiday UK
10,2am feedings for the baby are fun when he is all smiles and coos,romance zero is funny
11,2am feedings for the baby are fun when he is all smiles and coos,Id rather do the early runbut I am a morning runner
12,2am feedings for the baby are fun when he is all smiles and coos,haha yes
13,2am feedings for the baby are fun when he is all smiles and coos,What better way to spoil mum than to let her kick back and relax over a nice meal and a bottle of her favorite wine Our wine was a red
14,2am feedings for the baby are fun when he is all smiles and coos,Hes awesome Have you worked with him before Hes a good friend
15,2am feedings for the baby are fun when he is all smiles and coos,Chilliin
16,2am feedings for the baby are fun when he is all smiles and coos,a celticslakers rematch sounds better dont you think lol
17,2am feedings for the baby are fun when he is all smiles and coos,Anyone have an extra Keane ticket I promise to buy you a drink and take rad pics for your FB Blog Flickr etc
18,2am feedings for the baby are fun when he is all smiles and coos,you can ride one you can catch one but its not summer til you pop open one
19,2am feedings for the baby are fun when he is all smiles and coos,THANK YYYYYYYYYOOOOOOOOOOUUUUU
20,2am feedings for the baby are fun when he is all smiles and coos,Happy Star Wars day everyone and Enjoy the holiday UK
21,2am feedings for the baby are fun when he is all smiles and coos,His snoring is so annoying n it keeps me from sleeping like right now lol but I honestly wud miss it if it eva left I love him
22,2am feedings for the baby are fun when he is all smiles and coos,i miss you bby wish you were going tomorrow to make me do good
23,2am feedings for the baby are fun when he is all smiles and coos,Well what im working on isnt QUITE ready to post about publicly still beta testing but its a cool new script I coded
24,2am feedings for the baby are fun when he is all smiles and coos,SWEEEEET San Fran is awesome Love it there
25,2am feedings for the baby are fun when he is all smiles and coos,Mounce yes and it lasts way past my bedtime
26,2am feedings for the baby are fun when he is all smiles and coos,eating ice cream and then getting ready for graduation
27,2am feedings for the baby are fun when he is all smiles and coos,Happy Mothers day to all you Mums out there
28,2am feedings for the baby are fun when he is all smiles and coos,Gonna read a story bout adam lambert online then bed Nighty night
29,2am feedings for the baby are fun when he is all smiles and coos,We saw that in none 3D the baddies the best
30,Soooo high,romance zero is funny
31,Soooo high,haha yes
32,Soooo high,Chilliin
33,Soooo high,THANK YYYYYYYYYOOOOOOOOOOUUUUU
34,Both of you,hm Both of us I guess
35,Both of you,haha yes
36,Both of you,Is at a photoshoot
37,Both of you,Chilliin
38,Journey Wow u just became cooler hehe is that possible,romance zero is funny
39,Journey Wow u just became cooler hehe is that possible,Id rather do the early runbut I am a morning runner
40,Journey Wow u just became cooler hehe is that possible,will be back later httpplurkcomprp3k7
41,Journey Wow u just became cooler hehe is that possible,haha yes
42,Journey Wow u just became cooler hehe is that possible,What better way to spoil mum than to let her kick back and relax over a nice meal and a bottle of her favorite wine Our wine was a red
43,Journey Wow u just became cooler hehe is that possible,mannnn got an iphone im jealous httpbitlyNgnaR
44,Journey Wow u just became cooler hehe is that possible,Is at a photoshoot
45,Journey Wow u just became cooler hehe is that possible,Hes awesome Have you worked with him before Hes a good friend
46,Journey Wow u just became cooler hehe is that possible,Chilliin
47,Journey Wow u just became cooler hehe is that possible,a celticslakers rematch sounds better dont you think lol
48,Journey Wow u just became cooler hehe is that possible,Anyone have an extra Keane ticket I promise to buy you a drink and take rad pics for your FB Blog Flickr etc
49,Journey Wow u just became cooler hehe is that possible,you can ride one you can catch one but its not summer til you pop open one
50,Journey Wow u just became cooler hehe is that possible,she is good so gorjuz yea i kno i asked her yesterday when we were at tha hospital if she talked to u and she said no
51,Journey Wow u just became cooler hehe is that possible,THANK YYYYYYYYYOOOOOOOOOOUUUUU
52,Journey Wow u just became cooler hehe is that possible,Happy Star Wars day everyone and Enjoy the holiday UK
53,Journey Wow u just became cooler hehe is that possible,His snoring is so annoying n it keeps me from sleeping like right now lol but I honestly wud miss it if it eva left I love him
